,fGravityAccMagenergy,fGravityAccMagentropy,fGravityAccMagiqr,fGravityAccMagkurtosis,fGravityAccMagmad,fGravityAccMagmax,fGravityAccMagmean,fGravityAccMagmin,fGravityAccMagskewness,fGravityAccMagsma,fGravityAccMagstd,fGravityAcccorrelationXY,fGravityAcccorrelationXZ,fGravityAcccorrelationYZ,fGravityAccenergyX,fGravityAccenergyY,fGravityAccenergyZ,fGravityAccentropyX,fGravityAccentropyY,fGravityAccentropyZ,fGravityAcciqrX,fGravityAcciqrY,fGravityAcciqrZ,fGravityAcckurtosisX,fGravityAcckurtosisY,fGravityAcckurtosisZ,fGravityAccmadX,fGravityAccmadY,fGravityAccmadZ,fGravityAccmaxX,fGravityAccmaxY,fGravityAccmaxZ,fGravityAccmeanX,fGravityAccmeanY,fGravityAccmeanZ,fGravityAccminX,fGravityAccminY,fGravityAccminZ,fGravityAccskewnessX,fGravityAccskewnessY,fGravityAccskewnessZ,fGravityAccstdX,fGravityAccstdY,fGravityAccstdZ,tGravityAccMagenergy,tGravityAccMagentropy,tGravityAccMagiqr,tGravityAccMagkurtosis,tGravityAccMagmad,tGravityAccMagmax,tGravityAccMagmean,tGravityAccMagmin,tGravityAccMagskewness,tGravityAccMagstd,tGravityAcccorrelationXY,tGravityAcccorrelationXZ,tGravityAcccorrelationYZ,tGravityAccenergyX,tGravityAccenergyY,tGravityAccenergyZ,tGravityAccentropyX,tGravityAccentropyY,tGravityAccentropyZ,tGravityAcciqrX,tGravityAcciqrY,tGravityAcciqrZ,tGravityAcckurtosisX,tGravityAcckurtosisY,tGravityAcckurtosisZ,tGravityAccmadX,tGravityAccmadY,tGravityAccmadZ,tGravityAccmaxX,tGravityAccmaxY,tGravityAccmaxZ,tGravityAccmeanX,tGravityAccmeanY,tGravityAccmeanZ,tGravityAccminX,tGravityAccminY,tGravityAccminZ,tGravityAccskewnessX,tGravityAccskewnessY,tGravityAccskewnessZ,tGravityAccstdX,tGravityAccstdY,tGravityAccstdZ
678,0.040913436538064646,2.7003742055803537,0.04623785572938459,11.565760795713754,0.08258151344566278,0.7577967195944728,0.13733492678346162,0.04232940990298614,3.451772618379729,0.21575556821664202,0.1521682691779669,0.7518323865895701,0.6907957351626857,0.931452197794411,0.0028033612561021467,0.008218041832860805,0.02989203344910171,2.956808338601695,2.604729662921548,2.5960727257033187,0.02708464902106373,0.07061110210525415,0.04003179904757506,0.5648638202784064,8.32913604650171,11.75581584740639,0.016722450475659546,0.04473775683099909,0.07373191061122715,0.10499136788504464,0.3260156540643601,0.6759781610398066,0.048535681809074645,0.06010236258112792,0.10711752382643948,0.021252428368872246,0.00967645538661224,0.022619114205689895,1.0806561782006183,2.788614503517758,3.4989542188749003,0.02168020502213778,0.06954160795724246,0.1390638810594382,0.8591821672993579,2.9700528898503054,0.502235541886354,-1.0653075339686071,0.2753727268159455,1.364698243795112,0.8689494607150607,0.34334850163868197,-0.20297145562287422,0.33062736142594285,-0.14962759968653322,0.5455697511807768,0.5006275496616716,0.05887058637814507,0.1725788784900769,0.627732702431136,-inf,-inf,-inf,0.21099853515625,0.2808685302734375,0.5610809326171875,7.98358353667602,0.45798032649772624,0.1111797525004734,0.14141036053093115,0.20095326949139034,0.34065035519416104,0.2685699462890625,0.6583404541015625,1.251312255859375,0.10499136788504464,0.3260156540643601,0.6759781610398066,-0.7448577880859375,-0.2728729248046875,-0.4131317138671875,-2.7242881311569724,-1.204015373861059,-0.7221307631181375,0.22414229632124522,0.2638319642970078,0.4234684635717236
679,0.04179913660167142,2.5487018959894376,0.06860894065050893,12.639314058553236,0.08429296046704446,0.8206733908080914,0.12170974730735143,0.02437695058216539,3.6277305261996213,0.1843268712680699,0.16833053113637675,0.898656886673127,0.9152508900247632,0.920648651428761,0.0015815214740741755,0.008152213372615357,0.03206540175498191,2.664388703367813,2.711298048377922,2.334919332742673,0.020561237770357073,0.05774297566984757,0.07174369973005644,10.415850466351099,7.7709881322430405,12.800875389833388,0.016540852911262872,0.04282240819443824,0.08002099486125085,0.14648074195498512,0.3084753127325149,0.7462514241536459,0.026985007374178305,0.0646168383339037,0.09272502555998792,0.004670838774550962,0.01713372408743615,0.009282821327604962,3.176157359902615,2.7025172160610444,3.658238074431285,0.029933215558041935,0.06461982246310172,0.15697402638454416,0.8777818686351002,2.975802094735224,0.502235541886354,-1.0763970526884281,0.2709335228123712,1.364698243795112,0.8821129270618402,0.34334850163868197,-0.18705974221265792,0.3234835160758079,0.07224302663879721,0.07355335309933698,0.7390334923655631,0.03321195095555768,0.17119648082492253,0.67337343685462,-inf,-inf,2.9259363479566307,0.165313720703125,0.2709197998046875,0.5610809326171875,-0.7046209258685976,1.4747196676719545,-1.1871147462690206,0.09399393302242773,0.21007636453018705,0.2971598307291667,0.2685699462890625,0.6583404541015625,1.251312255859375,0.14648074195498512,0.3084753127325149,0.7462514241536459,-0.1023406982421875,-0.473907470703125,0.21673583984375,-0.6421763706440986,-1.5154445930987783,-0.29184706672345423,0.11109955153585672,0.2825622681330164,0.34972326380073604
680,0.04575931910233248,2.476599211224947,0.08447849438079277,13.858933995861229,0.0856040338819478,0.8903841686957001,0.11871179048495406,0.018878786856553042,3.8408102842921212,0.18207519365202968,0.18234629526617283,0.9351488388719412,0.9294599666022392,0.9715663531216447,0.0017971779164898285,0.008032831577731978,0.03592930960811066,2.770101485566195,2.5358862241795013,2.345495826618488,0.013871167867246185,0.04180278613193414,0.07558466772277539,11.767563212986765,11.363704944237353,13.89398383233215,0.015413700384310957,0.03969448650583263,0.07824121723553346,0.15272885277157738,0.3507879348028274,0.8039935884021577,0.030858798988212827,0.0544875630698198,0.096728831593997,0.010125208567176547,0.00657812915193713,0.008136780864942971,3.451051778389484,3.3729469525740936,3.847379497610113,0.02978519873308971,0.07291868005433591,0.1670373757094482,0.9609457011489818,2.9841439171508273,0.441410323136058,-0.8649371549553204,0.2568874721675127,1.364698243795112,0.9300353627274079,0.34334850163868197,-0.31712728857341915,0.31745696005404267,-0.5237834151912112,-0.31409921914157624,0.6603858389000338,0.037740736246286405,0.16868946313237151,0.7545155017703239,-inf,-inf,2.95020997567321,0.165313720703125,0.1195526123046875,0.4342041015625,-0.5247552288939596,1.8228105646684272,-0.991803289531715,0.10229948913159014,0.15571258614122727,0.2785262542517007,0.4173736572265625,0.6583404541015625,1.28912353515625,0.15272885277157738,0.3507879348028274,0.8039935884021577,-0.082366943359375,-0.2728729248046875,0.21673583984375,-0.03309809478508795,-1.5162259666507574,-0.34124889112530515,0.12302587315777301,0.21890443651419167,0.33692032019080265
681,0.04868460203311881,2.4554076909007323,0.07879228767740676,14.51402269633758,0.07978090177966433,0.9320576921459064,0.11923180358134595,0.023374947174587265,3.956928956808189,0.1745564746539607,0.19024142030654376,0.9161928024506667,0.9259303361460574,0.9856013627160497,0.00138875409113898,0.008003764422589281,0.03929208351939056,2.6372617533812406,2.257849997035333,2.449196675647058,0.023692838720199828,0.018834264559746974,0.0735946633168122,8.91097636996526,14.053047200229472,14.541297152315298,0.017760817827606617,0.038791374537992585,0.07011380594903793,0.13478960309709823,0.3843587239583333,0.8383505684988839,0.0249605210656234,0.042888593515298445,0.10670736007303884,0.005886532877074563,0.002602750685966123,0.017365988528113847,2.921454326926935,3.8855487082608486,3.961129965131045,0.028355119524261,0.08045215731919327,0.17117506818142372,1.022376642695495,2.981090884503058,0.4462478335776501,-0.5664393106178682,0.25871272829692527,1.364698243795112,0.9589039095616769,0.2678798328521976,-0.5698771505971323,0.32866994336106736,-0.21049235027063135,-0.27482036411018546,0.5645787488474324,0.029163835913918558,0.16807905287437497,0.8251337539072016,-inf,2.961322629095526,2.9340759760167456,0.21099853515625,0.1195526123046875,0.4557037353515625,-1.4740588236740884,0.10595416511657252,-0.37173259905518297,0.09588872169961737,0.10697137741815477,0.2828022444329295,0.2685699462890625,0.6583404541015625,1.2955322265625,0.13478960309709823,0.3843587239583333,0.8383505684988839,-0.0208587646484375,0.07611083984375,0.029083251953125,-0.19234291391912955,-0.6875669918266136,-0.6585559256581145,0.10744942415568151,0.14616701201389973,0.35835343184493107
682,0.05240612360437623,2.4349916188757037,0.038635381938346716,15.149592462886663,0.0881939343190901,0.9839026987297628,0.11846384204673231,0.04411555387736999,4.0846196030699335,0.17439758529427585,0.2007263406195068,0.8834934431919844,0.8814094770162598,0.9661222461594206,0.001114452285206372,0.008145140699911315,0.04314653061925857,2.700110205361951,2.4246547749582614,2.3725398373628996,0.02789363626449777,0.010567409417798244,0.03114048634228727,6.361389916823061,14.548471118612373,15.066942722546482,0.015430408250733692,0.036779295536971054,0.08320575538462645,0.10940406436011904,0.3844175792875744,0.8990652901785714,0.024364817357376226,0.04706220752001032,0.10297056041688935,0.002889249303993184,0.012236991511864494,0.03247057360817087,2.324779536842554,3.9778790679981473,4.071771134297614,0.023384789038293115,0.07891009941330411,0.18485338520574854,1.1005285956919015,2.993178119554826,0.5051793198034971,-0.1287253448655452,0.24299823510941135,1.364698243795112,1.004900579658513,0.24675804739408438,-0.7085935818271404,0.3086075043296586,0.20912289024600453,-0.09269031948268423,0.38931613622091216,0.02340349798933381,0.17104795469813758,0.9060771430044302,-inf,-inf,2.975758611874148,0.154296875,0.1195526123046875,0.4756317138671875,-1.3530076779285467,2.6372810382608893,-0.606380287394074,0.09471472915338011,0.1068872983763818,0.2501125205941752,0.2685699462890625,0.6583404541015625,1.3040924072265625,0.10940406436011904,0.3844175792875744,0.8990652901785714,-0.0534210205078125,-0.0995635986328125,0.21673583984375,0.02154883403458405,-1.328083853501466,-0.5283150633203108,0.10957171681306165,0.15631581303393455,0.320385212440554
683,0.060913529504162366,2.359496092628036,0.02864857017806772,14.72017020869919,0.10345274172968366,1.064352503320644,0.12189499076347592,0.04614879960892081,4.015116715648844,0.18399011417226127,0.2199042922898078,0.9106457061830524,0.9169931514972289,0.98103594323045,0.002267559009863913,0.01060089857957396,0.04804507191472448,2.9958659125943914,2.4439374392695594,1.8289206779841414,0.013378678349754793,0.02404025501056756,0.05058804563026965,10.742148515131602,15.106524732478409,13.955505898264832,0.00896817836397448,0.03806193460185765,0.1011393839663759,0.11020987374441964,0.441314697265625,0.9622584751674107,0.044896592958553735,0.05385093960417799,0.0852425816095295,0.031489625734916184,0.016847794714466357,0.006376162341965966,3.2178348366591494,4.073631685435846,3.881511701319334,0.016261847930255285,0.08992231996277225,0.20692441350655205,1.2791841195874094,3.0063733288991985,0.41374824135611077,-0.6416244928942652,0.24976457596001983,1.7201754272865288,1.0915536918689521,0.5582061311348547,-0.0595006766518798,0.3034458604469716,0.5625857313951395,-0.08594169820615935,0.21232949755315936,0.047618739207142165,0.22261887017105306,1.008946510209214,-inf,2.9797067864551416,2.9951720691858514,0.1977386474609375,0.1015167236328125,0.459442138671875,2.8304379931106434,4.113152883305722,-0.7847811362424038,0.133794252564307,0.10868617466517858,0.24315430517910291,0.6861572265625,1.01092529296875,1.2955322265625,0.11020987374441964,0.441314697265625,0.9622584751674107,-0.33740234375,0.2076416015625,0.385772705078125,0.6947503495818421,1.6106849783783408,-0.5418751644060728,0.1929926140638556,0.17103572304002157,0.2952209241171583
